ID_Prestamo,Monto_Prestamo_COP,Plazo_Meses,Edad_Agricultor,Experiencia_Anios,Ingresos_Mensuales_COP,Garantia_Respaldada,Subsidio_Gobierno,Tasa_Interes_EA
83,43053000.0,60,38,0,9718000.0,0,1,18.82
84,12309000.0,12,53,0,5553000.0,1,1,14.36
85,40763000.0,12,29,19,6796000.0,0,1,18.3
86,42396000.0,60,44,18,4011000.0,1,1,15.86
87,88905000.0,12,57,28,11868000.0,1,0,17.44
88,78319000.0,12,19,9,4419000.0,1,0,19.67
89,107029000.0,12,71,17,9547000.0,0,1,16.63
90,59305000.0,48,30,27,5874000.0,0,0,23.05
91,18753000.0,48,70,34,3507000.0,1,0,19.02
92,87023000.0,36,49,42,9857000.0,1,1,11.71
93,92490000.0,24,48,30,4870000.0,1,1,15.3
94,69547000.0,60,33,26,10558000.0,1,0,19.56
95,93661000.0,60,49,10,11093000.0,0,1,17.07
96,61786000.0,60,49,37,10500000.0,1,0,16.73
97,65114000.0,36,51,4,1675000.0,1,1,15.97
98,54167000.0,48,28,7,9725000.0,0,0,21.98
99,7923000.0,36,27,33,5701000.0,0,0,20.91
100,17408000.0,60,32,11,10649000.0,1,1,14.87
101,8614000.0,24,34,37,8126000.0,0,1,15.61
102,78187000.0,12,57,0,10220000.0,0,1,18.23
103,41151000.0,48,35,30,6644000.0,1,1,13.15
104,63486000.0,48,72,3,7025000.0,0,0,24.15
105,109370000.0,36,26,44,2845000.0,0,1,15.97
106,33669000.0,48,42,4,9689000.0,1,0,19.62
107,52194000.0,60,57,29,5787000.0,1,0,19.95
108,91888000.0,60,31,23,6651000.0,1,0,19.92
109,31312000.0,36,75,2,9701000.0,1,1,14.39
110,13853000.0,60,42,10,7708000.0,1,1,15.96
111,38321000.0,24,67,44,3452000.0,1,1,14.04
112,23540000.0,36,39,3,7615000.0,1,1,14.3
113,111915000.0,24,69,25,5662000.0,1,0,19.3
114,97934000.0,12,47,26,6324000.0,1,1,13.84
115,77841000.0,24,37,42,1603000.0,0,1,18.05
116,105218000.0,12,38,26,3547000.0,1,0,19.01
117,97422000.0,12,61,22,4307000.0,1,1,13.47
118,26456000.0,24,49,5,8929000.0,0,0,23.01
119,107644000.0,36,68,14,1423000.0,0,1,18.46
120,67024000.0,60,63,29,5674000.0,1,1,15.3
121,97856000.0,60,66,41,11187000.0,1,1,12.41
122,108050000.0,12,73,36,2497000.0,1,0,17.86
123,41570000.0,12,38,36,6826000.0,0,0,20.92
124,17656000.0,36,52,41,9716000.0,0,0,20.74
125,31213000.0,48,75,36,11385000.0,1,0,17.18
126,54117000.0,24,49,34,9291000.0,1,0,18.68
127,99072000.0,12,47,22,9010000.0,0,1,16.85
128,103984000.0,60,72,5,10143000.0,1,1,14.45
129,5799000.0,36,56,3,6074000.0,0,1,18.18
130,63736000.0,24,66,17,9923000.0,1,1,12.92
131,53002000.0,36,29,8,1385000.0,1,0,21.82
132,30542000.0,24,58,28,11193000.0,1,1,11.51
133,18785000.0,24,64,12,6043000.0,1,0,17.02
134,43826000.0,12,35,16,7221000.0,1,1,14.94
135,113435000.0,36,38,44,4027000.0,1,1,13.53
136,42168000.0,36,30,31,9245000.0,1,1,12.6
137,64661000.0,60,38,21,2120000.0,0,0,25.16
138,85847000.0,60,25,3,10637000.0,1,1,14.66
139,46817000.0,12,63,4,10161000.0,0,1,16.23
140,116755000.0,12,57,36,3612000.0,1,0,18.11
141,115681000.0,48,63,40,9960000.0,1,1,10.88
142,33955000.0,60,24,12,9714000.0,1,1,13.38
143,62184000.0,24,40,33,8065000.0,0,1,14.93
144,39601000.0,36,61,44,5297000.0,1,0,19.17
145,37757000.0,12,49,21,4205000.0,1,0,20.22
146,9242000.0,36,28,22,3780000.0,1,0,19.72
147,75100000.0,36,39,2,4709000.0,0,0,22.42
148,62808000.0,48,39,41,10968000.0,1,0,17.5
149,10920000.0,60,60,33,2131000.0,1,0,20.64
150,37044000.0,12,42,31,10169000.0,0,1,14.59
151,109451000.0,36,39,44,5033000.0,0,1,17.19
152,32550000.0,12,45,20,6881000.0,1,0,19.01
153,21663000.0,24,46,43,9801000.0,1,0,16.22
154,61287000.0,48,30,20,10763000.0,0,1,15.55
155,118350000.0,24,35,43,4989000.0,0,0,21.43
156,32836000.0,12,19,10,6242000.0,0,1,16.66
157,82296000.0,12,46,38,5735000.0,1,1,12.6
158,92586000.0,60,38,22,1442000.0,1,1,18.31
159,32328000.0,36,32,0,4467000.0,1,1,14.94
160,88745000.0,36,69,27,6213000.0,1,1,13.97
161,47295000.0,24,44,23,5699000.0,1,1,14.66
162,77715000.0,48,67,34,9025000.0,0,0,21.62
163,77856000.0,36,48,12,5417000.0,0,1,18.81
164,66614000.0,60,32,33,6536000.0,0,1,17.13
165,15383000.0,24,68,10,5897000.0,1,0,20.29
166,101060000.0,24,40,35,9225000.0,1,0,18.01
167,41890000.0,60,41,16,10534000.0,0,0,22.22
168,26450000.0,48,61,34,6991000.0,1,1,15.2
169,9689000.0,60,30,17,9747000.0,1,0,20.12
170,72953000.0,48,39,39,4476000.0,1,0,20.6
171,82920000.0,60,60,21,7093000.0,0,0,24.27
172,6908000.0,60,54,23,4994000.0,1,1,15.48
173,63891000.0,12,50,18,5732000.0,1,0,20.47
174,31047000.0,24,73,36,9137000.0,0,1,15.47
175,79195000.0,60,20,38,10734000.0,1,1,12.02
176,25052000.0,60,71,20,2600000.0,0,1,19.33
177,84458000.0,36,36,7,8091000.0,1,1,13.73
178,49475000.0,24,40,27,7529000.0,1,0,16.96
179,112724000.0,36,46,4,2567000.0,1,0,21.19
180,20815000.0,24,47,16,3567000.0,1,1,15.05
181,44223000.0,36,56,36,4628000.0,0,0,23.38
182,18049000.0,60,61,35,3086000.0,1,0,19.89
183,111340000.0,60,64,18,3908000.0,1,1,16.66
184,105894000.0,12,42,26,4163000.0,1,0,18.38
185,34663000.0,36,54,33,4892000.0,1,1,13.2
186,80898000.0,48,64,10,9318000.0,1,0,21.0
187,98981000.0,12,25,44,7419000.0,1,1,11.83
188,68848000.0,36,59,11,11853000.0,0,1,16.23
189,65910000.0,36,75,20,5738000.0,1,1,14.65
190,32813000.0,12,33,10,9366000.0,1,0,17.79
191,15707000.0,60,25,38,10625000.0,1,1,12.37
192,108180000.0,36,18,27,8565000.0,1,1,13.19
193,108548000.0,60,61,4,5707000.0,0,1,20.33
194,77807000.0,12,22,16,9363000.0,1,0,17.05
195,43988000.0,60,20,19,3479000.0,1,1,17.33
196,45159000.0,24,18,40,4805000.0,1,1,13.08
197,88485000.0,48,21,11,7150000.0,0,1,17.25
198,108168000.0,36,57,5,7457000.0,1,1,13.81
199,107015000.0,48,52,16,1537000.0,0,0,25.24
200,94686000.0,60,49,18,11413000.0,1,1,12.52
201,78834000.0,36,59,25,8754000.0,1,1,12.81
202,14676000.0,60,51,43,6604000.0,0,1,16.54
203,23587000.0,24,60,43,11284000.0,0,1,15.17
204,108334000.0,12,42,31,5998000.0,0,1,17.02
205,74739000.0,36,27,5,11791000.0,1,1,13.03
206,6058000.0,24,38,35,6781000.0,0,0,21.42
207,16669000.0,24,63,37,2523000.0,0,0,21.47
208,81303000.0,36,56,10,9483000.0,1,1,12.3
209,5582000.0,60,44,32,8564000.0,1,1,12.63
210,23493000.0,24,44,23,9571000.0,1,0,19.17
211,68104000.0,48,19,22,11480000.0,1,0,19.1
212,84568000.0,24,58,14,9608000.0,0,0,22.3
213,79976000.0,60,65,26,7841000.0,1,1,13.02
214,30791000.0,60,30,10,10473000.0,1,0,19.29
215,86901000.0,48,26,16,8504000.0,1,1,13.54
216,32284000.0,24,69,13,5667000.0,1,1,14.41
217,42421000.0,60,53,26,10776000.0,1,1,13.12
218,90847000.0,36,39,17,3674000.0,1,1,14.46
219,79708000.0,12,59,27,8947000.0,1,1,12.64
220,102661000.0,12,43,3,10733000.0,0,0,22.14
221,80625000.0,12,75,6,9125000.0,0,1,16.18
222,70355000.0,24,71,44,8761000.0,0,1,15.2
223,15773000.0,48,29,34,9353000.0,0,1,16.99
224,47287000.0,60,34,8,6276000.0,1,0,22.38
225,35498000.0,36,31,7,10654000.0,0,0,22.86
226,33059000.0,36,31,44,3477000.0,1,0,19.57
227,116896000.0,24,74,16,2663000.0,0,0,23.77
228,50206000.0,12,51,16,4355000.0,0,1,18.42
229,107585000.0,24,70,32,6988000.0,1,0,17.65
230,77581000.0,48,74,31,6763000.0,0,1,17.78
231,96403000.0,48,37,7,10080000.0,1,0,19.57
232,62803000.0,60,28,18,5629000.0,1,0,22.02
233,71344000.0,60,33,37,6482000.0,0,1,17.61
234,61640000.0,48,68,2,1443000.0,0,0,25.83
235,27453000.0,48,48,4,5684000.0,1,0,21.11
236,88082000.0,48,72,12,8231000.0,0,1,18.17
237,37289000.0,24,23,30,1466000.0,0,1,18.36
238,7796000.0,48,73,15,4305000.0,0,0,23.93
239,79229000.0,36,36,31,3525000.0,0,1,17.74
240,25368000.0,12,54,21,1749000.0,1,1,15.59
241,113153000.0,48,75,28,6428000.0,1,1,13.04
242,114702000.0,12,21,21,3244000.0,1,0,20.51
243,110209000.0,24,64,42,9251000.0,0,0,20.84
244,47568000.0,12,21,2,10373000.0,0,0,23.08
245,6778000.0,24,37,9,7138000.0,1,0,19.27
246,111757000.0,36,27,41,11804000.0,1,1,11.38
247,54241000.0,24,41,20,6120000.0,1,1,14.15
248,116165000.0,24,71,15,6793000.0,1,1,14.67
249,115816000.0,60,52,11,11885000.0,1,0,19.72
250,103096000.0,48,43,1,3778000.0,1,1,15.55
251,38862000.0,48,54,40,11385000.0,0,0,20.86
252,49286000.0,36,55,23,1758000.0,1,1,17.08
253,102881000.0,36,38,34,6076000.0,1,1,14.01
254,41446000.0,48,71,29,2049000.0,0,1,19.9
255,24492000.0,60,57,29,9103000.0,0,1,17.66
256,69032000.0,48,56,34,7810000.0,1,0,19.95
257,112658000.0,60,38,18,8861000.0,1,1,14.61
258,85043000.0,36,27,7,5307000.0,1,1,15.79
259,70557000.0,12,55,25,5253000.0,0,1,16.99
260,16175000.0,36,63,39,1785000.0,0,1,17.71
261,75726000.0,36,21,6,5044000.0,1,1,16.1
262,118856000.0,24,74,29,11243000.0,0,0,20.19
263,21110000.0,24,62,6,5358000.0,1,1,16.56
264,64608000.0,24,37,2,10196000.0,0,0,21.8
265,105898000.0,24,34,0,10313000.0,1,1,14.58
266,90188000.0,60,72,35,5294000.0,1,1,15.51
267,85157000.0,48,24,24,8062000.0,1,0,19.24
268,85786000.0,12,21,36,2320000.0,1,1,12.91
269,46341000.0,36,46,0,2409000.0,1,0,23.08
270,38763000.0,60,31,14,1821000.0,1,1,16.88
271,98077000.0,12,20,36,7517000.0,0,1,16.1
272,98163000.0,60,41,12,5859000.0,1,1,15.53
273,104713000.0,60,54,39,7164000.0,0,1,18.2
274,110023000.0,36,33,7,6875000.0,1,1,13.2
275,63804000.0,48,75,4,5047000.0,1,0,21.79
276,62674000.0,24,72,8,8549000.0,0,1,18.25
277,96804000.0,48,69,0,9416000.0,1,1,15.0
278,79746000.0,36,21,35,1457000.0,0,0,23.78
279,85726000.0,36,73,34,3517000.0,1,0,22.64
280,96516000.0,36,41,1,8932000.0,1,0,20.16
281,107351000.0,12,51,39,5437000.0,1,0,16.85
282,43869000.0,48,47,22,8389000.0,1,1,13.33
283,48192000.0,48,35,8,5013000.0,0,1,18.33
284,15808000.0,60,36,33,5481000.0,0,1,18.21
285,71502000.0,60,48,13,2998000.0,0,0,24.66
286,9133000.0,60,36,3,4063000.0,0,0,24.97
287,58544000.0,36,66,29,7778000.0,1,0,18.5
288,67404000.0,48,63,30,5935000.0,1,1,13.56
289,37952000.0,36,36,37,9585000.0,1,1,12.5
290,72946000.0,12,39,10,10423000.0,1,1,13.24
291,8508000.0,60,41,34,7096000.0,0,1,17.79
292,9295000.0,36,62,7,9413000.0,1,1,14.66
293,99599000.0,36,29,2,4584000.0,0,1,19.53
294,46422000.0,12,47,13,5740000.0,0,1,17.09
295,19612000.0,24,75,12,8927000.0,1,1,13.31
296,65058000.0,48,55,44,5432000.0,0,0,21.47
297,93549000.0,24,70,31,7597000.0,0,1,15.37
298,29819000.0,60,48,33,3283000.0,1,1,15.29
299,76632000.0,36,53,44,7718000.0,1,1,11.85
300,14815000.0,12,36,18,10518000.0,1,0,19.1
301,10943000.0,12,65,37,10594000.0,0,1,14.43
302,66106000.0,48,62,15,9050000.0,0,1,18.53
303,67173000.0,24,53,1,9280000.0,1,0,20.13
304,78304000.0,48,47,39,7270000.0,0,1,15.8
305,88501000.0,36,72,16,7556000.0,1,0,19.6
306,117223000.0,48,66,33,2730000.0,0,0,22.3
307,64375000.0,12,72,41,6049000.0,1,0,18.04
308,42140000.0,12,50,15,6123000.0,0,0,22.07
309,96446000.0,60,35,37,11556000.0,1,1,11.52
310,36146000.0,60,69,1,5913000.0,1,0,22.98
311,55482000.0,36,66,1,7178000.0,1,0,21.49
312,14022000.0,24,45,25,7006000.0,0,0,22.92
313,7915000.0,48,64,12,8113000.0,1,0,20.71
314,115705000.0,36,28,30,9306000.0,1,0,17.3
315,101138000.0,60,74,33,3708000.0,1,1,14.69
316,85037000.0,48,71,38,6957000.0,1,0,18.6
317,52030000.0,60,62,2,10137000.0,0,1,16.77
318,24929000.0,48,50,7,6255000.0,0,1,18.2
319,22990000.0,24,34,22,4279000.0,1,0,19.48
320,33778000.0,36,23,13,8305000.0,0,1,17.41
321,68161000.0,48,21,26,10114000.0,1,0,20.67
322,87179000.0,12,37,28,1976000.0,1,0,19.87
323,80923000.0,12,65,38,9612000.0,1,0,17.1
324,37192000.0,48,64,38,10092000.0,1,0,17.73
325,114810000.0,48,44,0,6238000.0,1,1,16.46
326,89858000.0,48,32,16,11821000.0,0,1,15.57
327,68751000.0,12,23,40,9718000.0,0,0,21.56
328,75348000.0,12,64,29,9578000.0,1,1,11.95
329,53254000.0,48,31,12,9302000.0,0,0,22.61
330,33489000.0,60,28,20,2912000.0,0,1,20.0
331,45937000.0,60,56,18,3624000.0,1,0,20.72
332,92152000.0,24,26,18,6265000.0,1,0,20.14
333,6655000.0,36,43,24,4125000.0,1,0,21.33
334,18348000.0,60,33,21,5743000.0,0,0,23.62
335,10290000.0,12,22,30,10807000.0,0,1,16.46
336,9684000.0,60,74,16,10120000.0,0,1,17.82
337,103378000.0,24,69,22,8041000.0,1,0,19.31
338,85921000.0,24,27,31,10482000.0,1,1,13.11
339,59530000.0,36,67,9,9686000.0,1,1,15.24
340,16251000.0,60,20,9,5890000.0,1,1,16.0
341,61536000.0,12,30,35,3451000.0,1,0,19.66
342,59449000.0,12,60,7,6802000.0,1,1,15.32
343,24918000.0,48,66,19,9178000.0,0,1,16.12
344,54893000.0,12,47,31,5970000.0,1,1,11.63
345,50828000.0,36,71,13,8434000.0,1,0,19.52
346,75823000.0,36,62,27,2309000.0,1,0,19.16
347,78036000.0,12,23,23,9304000.0,1,0,17.74
348,10210000.0,12,34,14,9996000.0,1,1,13.07
349,48080000.0,48,62,21,8863000.0,1,1,13.6
350,76974000.0,12,68,29,11650000.0,1,0,16.81
351,62861000.0,48,70,3,10145000.0,1,1,13.72
352,103496000.0,48,36,12,10963000.0,0,1,17.56
353,80750000.0,12,59,22,11289000.0,0,1,14.3
354,23737000.0,24,52,7,9874000.0,1,1,11.96
355,13115000.0,24,63,17,8515000.0,1,1,13.28
356,78878000.0,48,43,11,1361000.0,0,0,26.1
357,8049000.0,12,68,30,6284000.0,1,1,13.04
358,72364000.0,24,22,13,7411000.0,0,0,21.78
359,113126000.0,12,46,33,4553000.0,0,0,22.1
360,71180000.0,12,54,17,4704000.0,1,0,20.08
361,49640000.0,12,37,33,11584000.0,0,0,19.98
362,78978000.0,60,66,10,10841000.0,0,0,22.74
363,57699000.0,12,38,40,10386000.0,0,0,20.23
364,67746000.0,60,27,11,5644000.0,1,1,14.36
365,113268000.0,48,22,14,1447000.0,1,0,21.25
366,49402000.0,24,53,30,2158000.0,1,1,13.53
367,115537000.0,24,23,28,4641000.0,1,0,20.53
368,109115000.0,24,43,25,1468000.0,0,1,18.85
369,27516000.0,24,21,17,1484000.0,1,1,15.7
370,12977000.0,24,56,31,11108000.0,0,0,19.37
371,16589000.0,24,56,21,8856000.0,1,1,13.7
372,7096000.0,24,67,37,4606000.0,1,1,14.53
373,15861000.0,48,52,16,2719000.0,1,1,16.42
374,83546000.0,12,18,22,6775000.0,1,1,16.48
375,13187000.0,36,41,23,1357000.0,1,1,16.1
376,41682000.0,60,74,7,11341000.0,0,1,17.7
377,102161000.0,36,53,40,5739000.0,0,1,17.2
378,7676000.0,36,23,5,5605000.0,1,0,21.62
379,98664000.0,12,58,4,5479000.0,0,1,17.8
380,37413000.0,12,71,43,2042000.0,1,0,18.44
381,18589000.0,12,63,28,8130000.0,0,1,15.42
382,85125000.0,24,61,27,9143000.0,0,0,21.79
383,77328000.0,48,74,10,8535000.0,1,1,14.31
384,105909000.0,24,48,0,2781000.0,1,1,15.59
385,89533000.0,48,37,42,7494000.0,1,0,18.47
386,97400000.0,48,41,22,7393000.0,1,0,20.83
387,37434000.0,36,42,8,10592000.0,1,1,13.83
388,25406000.0,36,53,22,5357000.0,0,1,17.19
389,91321000.0,48,38,33,5275000.0,1,1,14.43
390,97786000.0,48,47,43,7918000.0,1,0,18.35
391,118908000.0,24,41,3,8074000.0,1,1,12.87
392,52451000.0,24,61,35,6321000.0,1,1,13.58
393,47782000.0,36,59,17,6041000.0,1,0,20.37
394,94287000.0,12,47,14,6587000.0,1,0,19.36
395,44192000.0,48,39,12,10513000.0,1,1,14.72
396,112037000.0,24,45,18,6234000.0,0,0,23.74
397,103717000.0,36,24,5,11357000.0,0,0,23.01
398,54334000.0,24,52,11,6693000.0,1,1,13.67
399,91350000.0,48,72,36,11456000.0,0,0,20.19
400,91772000.0,48,45,16,10211000.0,1,1,14.61
401,16859000.0,60,31,22,5178000.0,1,0,19.22
402,108794000.0,12,73,25,10541000.0,1,1,11.88
403,63104000.0,60,27,28,2478000.0,0,1,19.23
404,100043000.0,36,33,32,11198000.0,0,0,19.4
405,41806000.0,24,33,26,8059000.0,1,1,13.23
406,107985000.0,36,71,24,1882000.0,1,0,21.64
407,49758000.0,48,48,9,8194000.0,1,1,13.55
408,6246000.0,60,59,22,11724000.0,1,1,14.59
409,109119000.0,60,42,20,2047000.0,1,1,15.48
410,15498000.0,60,30,20,7235000.0,1,1,15.19
411,41721000.0,36,23,42,9301000.0,1,0,17.5
412,114257000.0,48,61,12,9970000.0,0,1,17.28
413,114320000.0,24,26,36,5728000.0,1,0,17.61
414,70945000.0,24,62,32,3485000.0,1,0,20.56
415,77661000.0,36,53,23,1753000.0,1,1,15.73
416,56571000.0,60,73,43,7503000.0,0,0,23.27
417,38719000.0,12,60,10,6146000.0,1,1,13.21
418,42796000.0,36,37,16,11452000.0,1,0,18.34
419,82340000.0,36,35,3,1948000.0,1,1,16.78
420,91523000.0,48,75,24,8634000.0,0,0,22.46
421,96032000.0,24,60,29,1567000.0,1,0,20.84
422,95806000.0,36,74,8,3134000.0,1,1,15.8
423,15489000.0,36,38,20,6153000.0,0,1,19.23
424,61858000.0,60,21,19,6167000.0,1,1,15.14
425,11619000.0,60,67,18,8637000.0,1,0,17.62
426,68196000.0,12,50,18,11039000.0,1,0,17.84
427,55776000.0,48,44,22,8138000.0,1,1,15.65
428,107086000.0,12,24,36,11503000.0,0,1,13.51
429,45355000.0,60,23,41,10733000.0,0,0,20.33
430,18463000.0,24,32,16,7554000.0,1,1,13.12
431,21444000.0,60,35,36,10222000.0,0,1,15.21
432,92574000.0,48,49,38,8176000.0,0,1,15.82
433,76095000.0,60,73,27,2141000.0,0,1,19.77
434,16629000.0,48,28,40,9224000.0,0,1,16.99
435,14672000.0,48,37,34,2316000.0,1,0,18.57
436,85611000.0,48,41,17,7657000.0,0,0,22.82
437,13368000.0,48,32,13,8818000.0,1,1,14.56
438,99514000.0,48,65,34,2012000.0,0,1,18.46
439,86218000.0,24,24,22,3770000.0,1,1,14.83
440,14355000.0,12,38,40,11098000.0,0,0,18.02
441,14756000.0,36,59,6,7895000.0,1,1,12.58
442,118464000.0,12,43,40,3935000.0,1,1,14.73
443,48041000.0,48,61,12,8690000.0,0,0,23.72
444,47624000.0,24,73,17,7686000.0,1,0,18.74
445,98472000.0,60,31,36,6667000.0,0,1,17.28
446,113934000.0,24,74,12,11745000.0,1,1,12.97
447,118390000.0,48,54,35,8613000.0,0,0,21.28
448,91638000.0,24,75,30,5317000.0,1,1,13.74
449,48270000.0,24,38,1,9861000.0,0,1,17.49
450,14603000.0,48,35,15,10765000.0,1,1,15.22
451,94372000.0,24,22,8,2640000.0,0,0,25.22
452,69216000.0,36,20,8,3446000.0,0,1,20.46
453,53786000.0,36,40,37,3614000.0,1,0,18.5
454,109231000.0,24,43,10,8696000.0,1,1,13.53
455,17788000.0,60,54,21,7753000.0,0,0,23.41
456,61652000.0,48,41,32,7923000.0,0,1,15.11
457,6306000.0,36,66,35,11366000.0,0,0,21.52
458,58896000.0,60,36,44,9602000.0,0,1,16.29
459,11475000.0,24,68,22,2669000.0,0,1,17.81
460,18664000.0,60,42,44,5018000.0,1,0,19.31
461,18516000.0,12,38,44,5959000.0,0,1,16.44
462,79659000.0,36,29,33,5537000.0,0,0,21.8
463,90795000.0,24,74,8,8462000.0,1,0,20.54
464,72087000.0,48,58,23,10843000.0,1,1,12.91
465,115650000.0,24,50,7,4575000.0,0,0,24.53
466,48110000.0,48,67,6,7205000.0,0,1,18.49
467,37857000.0,24,70,35,9747000.0,1,1,13.78
468,104889000.0,60,21,17,5754000.0,0,1,17.84
469,30714000.0,60,59,2,3099000.0,1,0,22.09
470,115771000.0,60,74,27,6382000.0,0,1,16.56
471,6398000.0,12,24,5,1891000.0,1,1,14.92
472,116536000.0,48,39,43,11384000.0,0,0,21.02
473,9963000.0,60,72,43,2101000.0,1,1,16.17
474,107481000.0,12,50,20,5991000.0,1,0,19.82
475,65686000.0,48,34,27,6970000.0,1,1,14.02
476,119191000.0,24,41,39,11843000.0,0,0,19.11
477,13487000.0,12,51,0,3076000.0,0,1,19.66
478,68693000.0,36,45,35,2524000.0,0,1,16.96
479,116470000.0,12,75,20,1393000.0,0,0,22.66
480,65156000.0,12,60,42,2965000.0,0,0,21.7
481,77381000.0,48,58,34,3518000.0,1,1,13.02
482,85011000.0,24,56,12,8047000.0,1,1,12.78
483,57272000.0,36,39,9,3651000.0,1,0,22.75
484,77169000.0,60,66,43,1520000.0,1,0,19.31
485,72196000.0,60,34,9,10145000.0,1,1,13.57
486,108633000.0,12,51,12,5212000.0,0,1,17.63
487,10226000.0,48,23,36,5085000.0,1,1,14.15
488,37311000.0,48,63,37,4537000.0,0,1,17.17
489,114297000.0,60,23,23,11736000.0,1,0,17.1
490,107380000.0,36,51,1,3120000.0,1,1,17.06
491,57401000.0,24,18,21,10911000.0,1,1,12.13
492,76315000.0,36,27,16,9612000.0,1,0,20.01
